fold,n,test_miou,iou_background,iou_head,iou_body,iou_tail
1,333,0.8961452323223292,0.9930032231775202,0.909416186706743,0.9516188499778998,0.7305426694271538
2,334,0.9029315289547687,0.993359118469014,0.9075377870487825,0.9520746830738488,0.7587545272274295
3,331,0.8962279133671489,0.9933968376060385,0.9096026234435631,0.9530576181030128,0.7288545743159816
4,327,0.8914742122165659,0.9930896064145659,0.911435482353861,0.9531830986963435,0.708188661401493
5,330,0.886187898138326,0.9932132975974434,0.9064660065866302,0.953703614403154,0.6913686739660766
mean,1655,0.8945933569998278,0.9932124166529164,0.9088916172279159,0.9527275728508519,0.7235418212676269
std,0,0.006224668785085098,0.0001690987519558482,0.0019344505610674014,0.0008550763483642004,0.025436208473745617
median,0,0.8961452323223292,0.9932132975974434,0.909416186706743,0.9530576181030128,0.7288545743159816
