fold,rat,frame,image_miou,iou_background,iou_head,iou_body,iou_tail,csv_path
4,Rat4,1,0.8336884568353922,0.9903471925161815,0.8380319148936171,0.9044980443285529,0.6018766756032171,data_full\Rat4\CSV\Thermal_1_CSV.csv
4,Rat4,2,0.7831161880928504,0.9895981305756009,0.6412954638332652,0.7840611470415308,0.7175100109210047,data_full\Rat4\CSV\Thermal_2_CSV.csv
4,Rat4,3,0.8512731852907187,0.9927513505322841,0.8397402597402598,0.932084432717678,0.6405166981726528,data_full\Rat4\CSV\Thermal_3_CSV.csv
4,Rat4,4,0.8733304102049159,0.9948784149746727,0.8581776591688905,0.937050132592499,0.7032154340836013,data_full\Rat4\CSV\Thermal_4_CSV.csv
4,Rat4,5,0.862475662235751,0.9886122852967345,0.8802158273381295,0.8932330062534953,0.6878415300546448,data_full\Rat4\CSV\Thermal_5_CSV.csv
4,Rat4,9,0.7329948713001764,0.9791659717048617,0.6007496994129712,0.7400846474162058,0.6119791666666666,data_full\Rat4\CSV\Thermal_9_CSV.csv
4,Rat4,10,0.8046584054032118,0.9621161838840689,0.9050013777900248,0.8276217292768354,0.5238943306619175,data_full\Rat4\CSV\Thermal_10_CSV.csv
4,Rat4,11,0.7767973443834401,0.9767713569770481,0.8999083256938079,0.8828782140721547,0.34763148079074974,data_full\Rat4\CSV\Thermal_11_CSV.csv
4,Rat4,12,0.6690388382876926,0.9615614103060829,0.8015316718587746,0.9127083513256757,0.00035391966023712616,data_full\Rat4\CSV\Thermal_12_CSV.csv
4,Rat4,13,0.7088952078822978,0.9653693407466243,0.8571866380631321,0.9247936646697349,0.08823118804969984,data_full\Rat4\CSV\Thermal_13_CSV.csv
4,Rat4,14,0.6954746416084102,0.9687122392369951,0.8589603419143226,0.8498104008667389,0.10441558441558442,data_full\Rat4\CSV\Thermal_14_CSV.csv
4,Rat4,15,0.6797456397932942,0.9772200092184203,0.874458614051973,0.842567520655419,0.02473641524736415,data_full\Rat4\CSV\Thermal_15_CSV.csv
4,Rat4,16,0.6132951567284594,0.966189418651247,0.6692731473253954,0.8177180609371951,0.0,data_full\Rat4\CSV\Thermal_16_CSV.csv
