fold,rat,frame,image_miou,iou_background,iou_head,iou_body,iou_tail,csv_path
2,Rat24,126,0.5711233850307164,0.9807925958370627,0.0,0.9625547581321652,0.34114618615363773,data_full\Rat24\CSV\Thermal_126_CSV.csv
5,Rat21,106,0.5816888102910523,0.9782434269667095,0.32412726469288555,0.9028791731605282,0.12150537634408602,data_full\Rat21\CSV\Thermal_106_CSV.csv
4,Rat4,16,0.6132951567284594,0.966189418651247,0.6692731473253954,0.8177180609371951,0.0,data_full\Rat4\CSV\Thermal_16_CSV.csv
1,Rat25,32,0.6198322170933626,0.9608932655977832,0.7335725677830941,0.7848630349925731,0.0,data_full\Rat25\CSV\Thermal_32_CSV.csv
2,Rat17,99,0.6206609606320727,0.929942956376466,0.7687384330660086,0.5938468691878487,0.19011558389796732,data_full\Rat17\CSV\Thermal_99_CSV.csv
2,Rat2,6,0.6212957651545747,0.9785092472569894,0.7466630345954781,0.7600107787658313,0.0,data_full\Rat2\CSV\Thermal_6_CSV.csv
4,Rat19,121,0.6386475402859719,0.9947610843500581,0.49306128572500185,0.5350791479382451,0.5316886431305827,data_full\Rat19\CSV\Thermal_121_CSV.csv
1,Rat16,32,0.6473260518474748,0.9619915181853967,0.7568624976336215,0.8704501915708812,0.0,data_full\Rat16\CSV\Thermal_32_CSV.csv
2,Rat2,5,0.6475617832985792,0.9718270432775268,0.7314272322474806,0.8774471620709352,0.009545695598373696,data_full\Rat2\CSV\Thermal_5_CSV.csv
1,Rat16,34,0.6502504985016008,0.9766263727124472,0.7344788304537687,0.889896790840187,0.0,data_full\Rat16\CSV\Thermal_34_CSV.csv
5,Rat20,92,0.6581498659303342,0.9881568835869776,0.5681570338058888,0.9193960511033682,0.15688949522510232,data_full\Rat20\CSV\Thermal_92_CSV.csv
1,Rat16,33,0.6608227403192015,0.9812124079205244,0.7677737415672029,0.8943048117890787,0.0,data_full\Rat16\CSV\Thermal_33_CSV.csv
5,Rat12,5,0.6619725579018193,0.9864382185511776,0.7529296875,0.9085223255560995,0.0,data_full\Rat12\CSV\Thermal_5_CSV.csv
1,Rat16,31,0.6650392058885088,0.9691437555958334,0.7874669686674217,0.9035460992907801,0.0,data_full\Rat16\CSV\Thermal_31_CSV.csv
1,Rat16,24,0.6650607904533832,0.9562648454883548,0.7524034101215309,0.9515749062036472,0.0,data_full\Rat16\CSV\Thermal_24_CSV.csv
4,Rat4,12,0.6690388382876926,0.9615614103060829,0.8015316718587746,0.9127083513256757,0.00035391966023712616,data_full\Rat4\CSV\Thermal_12_CSV.csv
4,Rat19,65,0.6725200403205441,0.9620207810820495,0.759656652360515,0.8477489388351541,0.12065378900445765,data_full\Rat19\CSV\Thermal_65_CSV.csv
4,Rat4,18,0.6738029774492487,0.9670435875132889,0.7924602011915226,0.9206841818483333,0.015023939243850091,data_full\Rat4\CSV\Thermal_18_CSV.csv
1,Rat25,31,0.6742020279556757,0.9836735689543418,0.8071979434447301,0.9059365994236311,0.0,data_full\Rat25\CSV\Thermal_31_CSV.csv
4,Rat15,10,0.6742097156004014,0.9892796552836728,0.8913745130773512,0.8161846940405816,0.0,data_full\Rat15\CSV\Thermal_10_CSV.csv
1,Rat25,35,0.6743500253003427,0.9942399253377664,0.0,0.9355172190993086,0.7676429567642957,data_full\Rat25\CSV\Thermal_35_CSV.csv
2,Rat17,109,0.6751644505832841,0.9949993897316973,0.009210526315789473,0.9566237247747412,0.7398241615109085,data_full\Rat17\CSV\Thermal_109_CSV.csv
3,Rat22,13,0.678350716038357,0.9869194106802955,0.8158584534731324,0.910625,0.0,data_full\Rat22\CSV\Thermal_13_CSV.csv
1,Rat25,86,0.67966989150493,0.9865555981638766,0.8455330330330331,0.8865909348228102,0.0,data_full\Rat25\CSV\Thermal_86_CSV.csv
4,Rat4,15,0.6797456397932942,0.9772200092184203,0.874458614051973,0.842567520655419,0.02473641524736415,data_full\Rat4\CSV\Thermal_15_CSV.csv
1,Rat25,107,0.6801026312639915,0.968841162112282,0.8221379156438295,0.9294314472998546,0.0,data_full\Rat25\CSV\Thermal_107_CSV.csv
5,Rat20,33,0.6803956877349225,0.9825942967897504,0.0,0.9505743210357247,0.7884141331142153,data_full\Rat20\CSV\Thermal_33_CSV.csv
5,Rat20,94,0.6833354147672958,0.9922129074221291,0.7872120113901113,0.8466030013642565,0.10731373889268626,data_full\Rat20\CSV\Thermal_94_CSV.csv
1,Rat25,7,0.6882363726604865,0.9838718901915928,0.8456020495303159,0.9234715509200373,0.0,data_full\Rat25\CSV\Thermal_7_CSV.csv
1,Rat16,23,0.6894940608774868,0.9710599212713223,0.8785748909355308,0.908341431303094,0.0,data_full\Rat16\CSV\Thermal_23_CSV.csv
3,Rat22,14,0.692200332503037,0.9886172459462361,0.8610849258719685,0.9190991581939434,0.0,data_full\Rat22\CSV\Thermal_14_CSV.csv
5,Rat5,33,0.6935475057563992,0.9926206496047701,0.9024657534246575,0.8791036199961693,0.0,data_full\Rat5\CSV\Thermal_33_CSV.csv
4,Rat23,52,0.6936165717844364,0.983530806131596,0.8679101314116151,0.9230253495945342,0.0,data_full\Rat23\CSV\Thermal_52_CSV.csv
2,Rat17,55,0.6937902633883297,0.9838983408918058,0.8336802664446294,0.8994758702531646,0.05810657596371882,data_full\Rat17\CSV\Thermal_55_CSV.csv
5,Rat21,111,0.6953596891321572,0.9852137138228605,0.8357919672660709,0.960433075439697,0.0,data_full\Rat21\CSV\Thermal_111_CSV.csv
